mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_gamma,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_nthread,param_objective,param_reg_lambda,param_seed,param_silent,param_subsample,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,split2_train_accuracy,split3_train_accuracy,split4_train_accuracy,mean_train_accuracy,std_train_accuracy
149.40929942131044,3.2826141694548268,0.7685580253601074,0.09483536911988245,1.0,0.001,0.05,7,10,150,10,reg:linear,0.1,101,1,0.9,"{'colsample_bytree': 1.0, 'gamma': 0.001, 'learning_rate': 0.05, 'max_depth': 7, 'min_child_weight': 10, 'n_estimators': 150, 'nthread': 10, 'objective': 'reg:linear', 'reg_lambda': 0.1, 'seed': 101, 'silent': 1, 'subsample': 0.9}",,,,,,,,95,,,,,,,
147.6769875049591,2.3515181948257093,0.8681701183319092,0.05550527934011002,1.0,0.001,0.05,7,10,150,10,reg:linear,10,101,1,0.9,"{'colsample_bytree': 1.0, 'gamma': 0.001, 'learning_rate': 0.05, 'max_depth': 7, 'min_child_weight': 10, 'n_estimators': 150, 'nthread': 10, 'objective': 'reg:linear', 'reg_lambda': 10, 'seed': 101, 'silent': 1, 'subsample': 0.9}",,,,,,,,94,,,,,,,
150.22241525650026,2.510343278232545,0.764135217666626,0.048159416287671064,1.0,0.001,0.05,7,10,150,10,reg:linear,100,101,1,0.9,"{'colsample_bytree': 1.0, 'gamma': 0.001, 'learning_rate': 0.05, 'max_depth': 7, 'min_child_weight': 10, 'n_estimators': 150, 'nthread': 10, 'objective': 'reg:linear', 'reg_lambda': 100, 'seed': 101, 'silent': 1, 'subsample': 0.9}",,,,,,,,108,,,,,,,
100.84170207977294,1.926784537902567,0.5948214054107666,0.04106950859829228,1.0,0.001,0.05,7,20,100,10,reg:linear,1,101,1,0.9,"{'colsample_bytree': 1.0, 'gamma': 0.001, 'learning_rate': 0.05, 'max_depth': 7, 'min_child_weight': 20, 'n_estimators': 100, 'nthread': 10, 'objective': 'reg:linear', 'reg_lambda': 1, 'seed': 101, 'silent': 1, 'subsample': 0.9}",,,,,,,,93,,,,,,,
101.94425511360168,0.3132209829845357,0.5742541313171386,0.04121965603818988,1.0,0.001,0.05,7,20,100,10,reg:linear,0.1,101,1,0.9,"{'colsample_bytree': 1.0, 'gamma': 0.001, 'learning_rate': 0.05, 'max_depth': 7, 'min_child_weight': 20, 'n_estimators': 100, 'nthread': 10, 'objective': 'reg:linear', 'reg_lambda': 0.1, 'seed': 101, 'silent': 1, 'subsample': 0.9}",,,,,,,,91,,,,,,,
101.8271556854248,1.1245700317689238,0.6174553871154785,0.08625002191888596,1.0,0.001,0.05,7,20,100,10,reg:linear,10,101,1,0.9,"{'colsample_bytree': 1.0, 'gamma': 0.001, 'learning_rate': 0.05, 'max_depth': 7, 'min_child_weight': 20, 'n_estimators': 100, 'nthread': 10, 'objective': 'reg:linear', 'reg_lambda': 10, 'seed': 101, 'silent': 1, 'subsample': 0.9}",,,,,,,,90,,,,,,,
100.24963641166687,1.5638400312389402,0.5329020023345947,0.025990880680025655,1.0,0.001,0.05,7,20,100,10,reg:linear,100,101,1,0.9,"{'colsample_bytree': 1.0, 'gamma': 0.001, 'learning_rate': 0.05, 'max_depth': 7, 'min_child_weight': 20, 'n_estimators': 100, 'nthread': 10, 'objective': 'reg:linear', 'reg_lambda': 100, 'seed': 101, 'silent': 1, 'subsample': 0.9}",,,,,,,,89,,,,,,,
146.59637851715087,2.6278673376711676,0.8191523551940918,0.058212861609360636,1.0,0.001,0.05,7,20,150,10,reg:linear,1,101,1,0.9,"{'colsample_bytree': 1.0, 'gamma': 0.001, 'learning_rate': 0.05, 'max_depth': 7, 'min_child_weight': 20, 'n_estimators': 150, 'nthread': 10, 'objective': 'reg:linear', 'reg_lambda': 1, 'seed': 101, 'silent': 1, 'subsample': 0.9}",,,,,,,,88,,,,,,,
148.57158784866334,1.7334951911742462,0.802946949005127,0.04862518240265878,1.0,0.001,0.05,7,20,150,10,reg:linear,0.1,101,1,0.9,"{'colsample_bytree': 1.0, 'gamma': 0.001, 'learning_rate': 0.05, 'max_depth': 7, 'min_child_weight': 20, 'n_estimators': 150, 'nthread': 10, 'objective': 'reg:linear', 'reg_lambda': 0.1, 'seed': 101, 'silent': 1, 'subsample': 0.9}",,,,,,,,87,,,,,,,
147.55658297538758,3.2702366123483393,0.8574592113494873,0.1250099604880452,1.0,0.001,0.05,7,20,150,10,reg:linear,10,101,1,0.9,"{'colsample_bytree': 1.0, 'gamma': 0.001, 'learning_rate': 0.05, 'max_depth': 7, 'min_child_weight': 20, 'n_estimators': 150, 'nthread': 10, 'objective': 'reg:linear', 'reg_lambda': 10, 'seed': 101, 'silent': 1, 'subsample': 0.9}",,,,,,,,86,,,,,,,
